Beneficiários por Município
Assistência Médica por Município
Período:Dez/2022
"Município";"Assistência_Médica"
"230393 Choró";73
"230395 Chorozinho";482
"230400 Coreaú";198
"230410 Crateús";3938
"230420 Crato";18169
"230423 Croatá";41
"230425 Cruz";336
"230426 Deputado Irapuan Pinheiro";47
"230427 Ererê";32
"230428 Eusébio";24920
"230430 Farias Brito";240
"230435 Forquilha";539
"230440 Fortaleza";959100
"230445 Fortim";408
"230450 Frecheirinha";300
"230460 General Sampaio";39
"230465 Graça";64
"230470 Granja";394
"230480 Granjeiro";30
"230490 Groaíras";819
"230495 Guaiúba";852
"230500 Guaraciaba do Norte";408
"230510 Guaramiranga";67
"230520 Hidrolândia";194
"230523 Horizonte";5273
"230526 Ibaretama";44
"230530 Ibiapina";271
"230533 Ibicuitinga";66
"230535 Icapuí";543
"230540 Icó";1379
"230550 Iguatu";7680
"230560 Independência";412
"230565 Ipaporanga";61
"230570 Ipaumirim";137
"230580 Ipu";640
"230590 Ipueiras";310
"230600 Iracema";247
"230610 Irauçuba";141
"230620 Itaiçaba";144
"230625 Itaitinga";5581
"230630 Itapagé";992
"230640 Itapipoca";3893
"230650 Itapiúna";111
"230655 Itarema";393
"230660 Itatira";119
"230670 Jaguaretama";227
"230680 Jaguaribara";207
"230690 Jaguaribe";1129
"230700 Jaguaruana";820
"230710 Jardim";467
"230720 Jati";139
"230725 Jijoca de Jericoacoara";386
"230730 Juazeiro do Norte";46983
"230740 Jucás";350
"230750 Lavras da Mangabeira";440
"230760 Limoeiro do Norte";4675
"230763 Madalena";134
"230765 Maracanaú";55929
"230770 Maranguape";9336
"230780 Marco";416
"230790 Martinópole";47
"230800 Massapê";526
"230810 Mauriti";773
"230820 Meruoca";158
"230830 Milagres";808
"230835 Milhã";188
"230837 Miraíma";49
"230840 Missão Velha";1183
"230850 Mombaça";573
"230860 Monsenhor Tabosa";102
"230870 Morada Nova";1873
"230880 Moraújo";47
"230890 Morrinhos";157
"230900 Mucambo";209
"230910 Mulungu";107
"230920 Nova Olinda";220
"230930 Nova Russas";825
"230940 Novo Oriente";185
"230945 Ocara";163
"230950 Orós";277
"230960 Pacajus";6956
"230970 Pacatuba";7683
"230980 Pacoti";141
"230990 Pacujá";41
"231000 Palhano";67
"231010 Palmácia";120
"231020 Paracuru";1508
"231025 Paraipaba";892
"231030 Parambu";202
"231040 Paramoti";62
"231050 Pedra Branca";295
"231060 Penaforte";113
"231070 Pentecoste";695
"231080 Pereiro";5288
"231085 Pindoretama";972
"231090 Piquet Carneiro";61
"231095 Pires Ferreira";11
"231100 Poranga";47
"231110 Porteiras";240
"231120 Potengi";177
"231123 Potiretama";38
"231126 Quiterianópolis";72
"231130 Quixadá";3729
"231135 Quixelô";117
"231140 Quixeramobim";1753
"231150 Quixeré";487
"231160 Redenção";841
"231170 Reriutaba";188
"231180 Russas";4101
"231190 Saboeiro";80
"231195 Salitre";21
"231220 Santa Quitéria";810
"231200 Santana do Acaraú";320
"231210 Santana do Cariri";183
"231230 São Benedito";890
"231240 São Gonçalo do Amarante";8687
"231250 São João do Jaguaribe";105
"231260 São Luís do Curu";117
"231270 Senador Pompeu";513
"231280 Senador Sá";23
"231290 Sobral";23482
"231300 Solonópole";282
"231310 Tabuleiro do Norte";1348
"231320 Tamboril";194
"231325 Tarrafas";49
"231330 Tauá";1542
"231335 Tejuçuoca";55
"231340 Tianguá";2508
"231350 Trairi";1045
"231355 Tururu";94
"231360 Ubajara";1220
"231370 Umari";31
"231375 Umirim";104
"231380 Uruburetama";276
"231390 Uruoca";112
"231395 Varjota";159
"231400 Várzea Alegre";622
"231410 Viçosa do Ceará";497
"230000 Município ignorado - CE";84
"240010 Acari";397
"240020 Açu";3710
"240030 Afonso Bezerra";170
"240040 Água Nova";24
"240050 Alexandria";285
"240060 Almino Afonso";70
"240070 Alto do Rodrigues";2213
"240080 Angicos";602
"240090 Antônio Martins";40
"240100 Apodi";628
"240110 Areia Branca";2738
"240120 Arês";843
"240130 Augusto Severo";153
"240140 Baía Formosa";249
"240145 Baraúna";660
"240150 Barcelona";81
"240160 Bento Fernandes";94
"240165 Bodó";46
"240170 Bom Jesus";349
"240180 Brejinho";428
"240185 Caiçara do Norte";180
"240190 Caiçara do Rio do Vento";57
"240200 Caicó";5087
"240210 Campo Redondo";149
"240220 Canguaretama";1076
"240230 Caraúbas";354
"240240 Carnaúba dos Dantas";175
"240250 Carnaubais";150
"240260 Ceará-Mirim";5098
"240270 Cerro Corá";225
"240280 Coronel Ezequiel";19
"240290 Coronel João Pessoa";39
"240300 Cruzeta";125
"240310 Currais Novos";2986
"240320 Doutor Severiano";39
"240330 Encanto";30
"240340 Equador";62
"240350 Espírito Santo";221
"240360 Extremoz";7157
"240370 Felipe Guerra";98
"240375 Fernando Pedroza";56
"240380 Florânia";215
"240390 Francisco Dantas";32
"240400 Frutuoso Gomes";62
"240410 Galinhos";47
"240420 Goianinha";3215
"240430 Governador Dix-Sept Rosado";168
"240440 Grossos";228
"240450 Guamaré";1314
"240460 Ielmo Marinho";85
"240470 Ipanguaçu";342
"240480 Ipueira";25
"240485 Itajá";164
"240490 Itaú";86
"240500 Jaçanã";55
"240510 Jandaíra";127
"240520 Janduís";37
"240530 Januário Cicco";122
"240540 Japi";26
"240550 Jardim de Angicos";38
"240560 Jardim de Piranhas";232
"240570 Jardim do Seridó";356
"240580 João Câmara";2493
"240590 João Dias";11
"240600 José da Penha";49
"240610 Jucurutu";283
"240615 Jundiá";37
"240620 Lagoa d'Anta";107
"240630 Lagoa de Pedras";107
"240640 Lagoa de Velhos";31
"240650 Lagoa Nova";248
"240660 Lagoa Salgada";262
"240670 Lajes";433
"240680 Lajes Pintadas";65
"240690 Lucrécia";59
"240700 Luís Gomes";85
"240710 Macaíba";6765
"240720 Macau";2999
"240725 Major Sales";32
"240730 Marcelino Vieira";123
"240740 Martins";238
"240750 Maxaranguape";219
"240760 Messias Targino";35
"240770 Montanhas";280
"240780 Monte Alegre";711
"240790 Monte das Gameleiras";34
"240800 Mossoró";73392
"240810 Natal";335139
"240820 Nísia Floresta";979
"240830 Nova Cruz";1278
"240840 Olho-d'Água do Borges";59
"240850 Ouro Branco";122
"240860 Paraná";32
"240870 Paraú";69
"240880 Parazinho";172
"240890 Parelhas";616
"240325 Parnamirim";83715
"240910 Passa e Fica";117
"240920 Passagem";54
"240930 Patu";194
"240940 Pau dos Ferros";1876
"240950 Pedra Grande";124
"240960 Pedra Preta";50
"240970 Pedro Avelino";164
"240980 Pedro Velho";313
"240990 Pendências";451
"241000 Pilões";73
"241010 Poço Branco";169
"241020 Portalegre";102
"241025 Porto do Mangue";93
"241030 Presidente Juscelino";175
"241040 Pureza";97
"241050 Rafael Fernandes";80
"241060 Rafael Godeiro";66
"241070 Riacho da Cruz";52
"241080 Riacho de Santana";25
"241090 Riachuelo";202
"240895 Rio do Fogo";254
"241100 Rodolfo Fernandes";28
"241110 Ruy Barbosa";30
"241120 Santa Cruz";2136
"240933 Santa Maria";225
"241140 Santana do Matos";281
"241142 Santana do Seridó";45
"241150 Santo Antônio";633
"241160 São Bento do Norte";110
"241170 São Bento do Trairí";43
"241180 São Fernando";46
"241190 São Francisco do Oeste";27
"241200 São Gonçalo do Amarante";19594
"241210 São João do Sabugi";105
"241220 São José de Mipibu";2693
"241230 São José do Campestre";215
"241240 São José do Seridó";109
"241250 São Miguel";421
"241255 São Miguel do Gostoso";408
"241260 São Paulo do Potengi";824
"241270 São Pedro";595
"241280 São Rafael";127
"241290 São Tomé";240
"241300 São Vicente";395
"241310 Senador Elói de Souza";109
"241320 Senador Georgino Avelino";55
"241330 Serra de São Bento";101
"241335 Serra do Mel";131
"241340 Serra Negra do Norte";110
"241350 Serrinha";116
"241355 Serrinha dos Pintos";75
"241360 Severiano Melo";91
"241370 Sítio Novo";47
"241380 Taboleiro Grande";21
"241390 Taipu";165
"241400 Tangará";412
"241410 Tenente Ananias";147
"241415 Tenente Laurentino Cruz";67
"241105 Tibau";193
"241420 Tibau do Sul";1208
"241430 Timbaúba dos Batistas";40
"241440 Touros";1187
"241445 Triunfo Potiguar";42
"241450 Umarizal";177
"241460 Upanema";204
"241470 Várzea";163
"241475 Venha-Ver";10
"241480 Vera Cruz";324
"241490 Viçosa";79
"241500 Vila Flor";54
"240000 Município ignorado - RN";132
"250010 Água Branca";117
"250020 Aguiar";37
"250030 Alagoa Grande";656
"250040 Alagoa Nova";1263
"250050 Alagoinha";204
"250053 Alcantil";41
"250057 Algodão de Jandaíra";24
"250060 Alhandra";1004
"250073 Amparo";45
"250077 Aparecida";61
"250080 Araçagi";154
"250090 Arara";168
"250100 Araruna";237
"250110 Areia";861
"250115 Areia de Baraúnas";1
"250120 Areial";148
"250130 Aroeiras";294
"250135 Assunção";48
"250140 Baía da Traição";130
"250150 Bananeiras";594
"250153 Baraúna";7
"250160 Barra de Santa Rosa";223
"250157 Barra de Santana";76
"250170 Barra de São Miguel";68
"250180 Bayeux";6133
"250190 Belém";731
"250200 Belém do Brejo do Cruz";14
"250205 Bernardino Batista";5
"250210 Boa Ventura";62
"250215 Boa Vista";345
"250220 Bom Jesus";121
"250230 Bom Sucesso";160
"250240 Bonito de Santa Fé";74
"250250 Boqueirão";707
"250270 Borborema";41
"250280 Brejo do Cruz";165
"250290 Brejo dos Santos";53
"250300 Caaporã";1082
"250310 Cabaceiras";70
"250320 Cabedelo";15211
"250330 Cachoeira dos Índios";76
"250340 Cacimba de Areia";20
"250350 Cacimba de Dentro";79
"250355 Cacimbas";14
"250360 Caiçara";79
"250370 Cajazeiras";3330
"250375 Cajazeirinhas";10
"250380 Caldas Brandão";68
"250390 Camalaú";42
"250400 Campina Grande";89233
"251640 Campo de Santana";44
"250403 Capim";43
"250407 Caraúbas";50
"250410 Carrapateira";12
"250415 Casserengue";18
"250420 Catingueira";40
"250430 Catolé do Rocha";807
"250435 Caturité";345
"250440 Conceição";217
"250450 Condado";441
"250460 Conde";1135
"250470 Congo";29
"250480 Coremas";197
"250485 Coxixola";17
"250490 Cruz do Espírito Santo";215
"250500 Cubati";84
"250510 Cuité";388
"250523 Cuité de Mamanguape";50
"250520 Cuitegi";76
"250527 Curral de Cima";14
"250530 Curral Velho";8
"250535 Damião";18
"250540 Desterro";46
"250560 Diamante";14
"250570 Dona Inês";65
"250580 Duas Estradas";39
"250590 Emas";21
"250600 Esperança";1279
"250610 Fagundes";411
"250620 Frei Martinho";33
"250625 Gado Bravo";59
"250630 Guarabira";3918
"250640 Gurinhém";124
"250650 Gurjão";30
"250660 Ibiara";40
"250260 Igaracy";59
"250670 Imaculada";35
"250680 Ingá";360
"250690 Itabaiana";935
"250700 Itaporanga";608
"250710 Itapororoca";255
"250720 Itatuba";126
"250730 Jacaraú";184
"250740 Jericó";106
"250750 João Pessoa";242944
"250760 Juarez Távora";131
"250770 Juazeirinho";299
"250780 Junco do Seridó";76
"250790 Juripiranga";180
"250800 Juru";77
"250810 Lagoa";55
"250820 Lagoa de Dentro";74
"250830 Lagoa Seca";1587
"250840 Lastro";17
"250850 Livramento";49
"250855 Logradouro";23
"250860 Lucena";530
"250870 Mãe d'Água";17
"250880 Malta";76
"250890 Mamanguape";1474
"250900 Manaíra";48
"250905 Marcação";32
"250910 Mari";301
"250915 Marizópolis";70
"250920 Massaranduba";271
"250930 Mataraca";117
"250933 Matinhas";30
"250937 Mato Grosso";31
"250939 Maturéia";30
"250940 Mogeiro";147
"250950 Montadas";203
"250960 Monte Horebe";21
"250970 Monteiro";921
"250980 Mulungu";75
"250990 Natuba";51
"251000 Nazarezinho";78
"251010 Nova Floresta";125
"251020 Nova Olinda";35
"251030 Nova Palmeira";79
"251040 Olho d'Água";61
"251050 Olivedos";72
"251060 Ouro Velho";35
"251065 Parari";11
"251070 Passagem";31
"251080 Patos";6622
"251090 Paulista";2432
"251100 Pedra Branca";27
"251110 Pedra Lavrada";51
"251120 Pedras de Fogo";911
"251272 Pedro Régis";20
"251130 Piancó";244
"251140 Picuí";371
"251150 Pilar";145
"251160 Pilões";119
"251170 Pilõezinhos";37
"251180 Pirpirituba";167
"251190 Pitimbu";552
"251200 Pocinhos";594
"251203 Poço Dantas";8
"251207 Poço de José de Moura";37
"251210 Pombal";982
"251220 Prata";55
"251230 Princesa Isabel";299
"251240 Puxinanã";541
"251250 Queimadas";3331
"251260 Quixabá";18
"251270 Remígio";560
"251274 Riachão";14
"251275 Riachão do Bacamarte";68
"251276 Riachão do Poço";41
"251278 Riacho de Santo Antônio";39
"251280 Riacho dos Cavalos";38
"251290 Rio Tinto";690
"251300 Salgadinho";7
"251310 Salgado de São Félix";92
"251315 Santa Cecília";19
"251320 Santa Cruz";63
"251330 Santa Helena";17
"251335 Santa Inês";10
"251340 Santa Luzia";505
"251370 Santa Rita";10068
"251380 Santa Teresinha";30
"251350 Santana de Mangueira";19
"251360 Santana dos Garrotes";45
"251365 Santarém";25
"251385 Santo André";423
"251392 São Bentinho";24
"251390 São Bento";483
"251396 São Domingos";10
"251394 São Domingos do Cariri";15
"251398 São Francisco";30
"251400 São João do Cariri";110
"250070 São João do Rio do Peixe";246
"251410 São João do Tigre";19
"251420 São José da Lagoa Tapada";56
"251430 São José de Caiana";30
"251440 São José de Espinharas";9
"251450 São José de Piranhas";344
"251455 São José de Princesa";1
"251460 São José do Bonfim";16
"251470 São José do Sabugi";61
"251480 São José dos Cordeiros";22
"251445 São José dos Ramos";12
"251490 São Mamede";122
"251500 São Miguel de Taipu";34
"251510 São Sebastião de Lagoa de Roça";333
"251520 São Sebastião do Umbuzeiro";24
"251530 Sapé";1619
"251540 Seridó";44
"251550 Serra Branca";403
"251560 Serra da Raiz";26
"251570 Serra Grande";22
"251580 Serra Redonda";87
"251590 Serraria";71
"251593 Sertãozinho";131
"251597 Sobrado";107
"251600 Solânea";792
"251610 Soledade";402
"251615 Sossêgo";8
"251620 Sousa";4341
"251630 Sumé";436
"251650 Taperoá";283
"251660 Tavares";104
"251670 Teixeira";188
"251675 Tenório";17
"251680 Triunfo";194
"251690 Uiraúna";586
"251700 Umbuzeiro";161
"251710 Várzea";40
"251720 Vieirópolis";17
"250550 Vista Serrana";35
"251740 Zabelê";9
"250000 Município ignorado - PB";6
"260005 Abreu e Lima";17469
"260010 Afogados da Ingazeira";929
"260020 Afrânio";555
"260030 Agrestina";699
"260040 Água Preta";171
"260050 Águas Belas";617
"260060 Alagoinha";226
"260070 Aliança";1120
"260080 Altinho";789
"260090 Amaraji";304
"260100 Angelim";319
"260105 Araçoiaba";444
"260110 Araripina";1679
"260120 Arcoverde";5259
"260130 Barra de Guabiraba";141
"260140 Barreiros";827
"260150 Belém de Maria";74
"260160 Belém de São Francisco";307
"260170 Belo Jardim";5561
"260180 Betânia";36
"260190 Bezerros";2829
"260200 Bodocó";347
"260210 Bom Conselho";1516
"260220 Bom Jardim";338
"260230 Bonito";1108
"260240 Brejão";196
"260250 Brejinho";32
"260260 Brejo da Madre de Deus";1232
"260270 Buenos Aires";58
"260280 Buíque";518
"260290 Cabo de Santo Agostinho";38802
"260300 Cabrobó";923
"260310 Cachoeirinha";317
"260320 Caetés";169
"260330 Calçado";45
"260340 Calumbi";79
"260345 Camaragibe";28563
"260350 Camocim de São Félix";506
"260360 Camutanga";119
"260370 Canhotinho";330
"260380 Capoeiras";170
"260390 Carnaíba";120
"260392 Carnaubeira da Penha";18
"260400 Carpina";6290
"260410 Caruaru";55076
"260415 Casinhas";55
"260420 Catende";563
"260430 Cedro";126
"260440 Chã de Alegria";246
"260450 Chã Grande";304
"260460 Condado";1507
"260470 Correntes";146
"260480 Cortês";115
"260490 Cumaru";266
"260500 Cupira";941
"260510 Custódia";504
"260515 Dormentes";1480
"260520 Escada";3938
"260530 Exu";372
"260540 Feira Nova";359
"260545 Fernando de Noronha";656
"260550 Ferreiros";131
"260560 Flores";119
"260570 Floresta";683
"260580 Frei Miguelinho";163
"260590 Gameleira";238
"260600 Garanhuns";16562
"260610 Glória do Goitá";1965
"260620 Goiana";13956
"260630 Granito";54
"260640 Gravatá";4054
"260650 Iati";93
"260660 Ibimirim";172
"260670 Ibirajuba";42
"260680 Igarassu";20371
"260690 Iguaraci";86
"260760 Ilha de Itamaracá";1032
"260700 Inajá";64
"260710 Ingazeira";33
"260720 Ipojuca";7415
"260730 Ipubi";157
"260740 Itacuruba";64
"260750 Itaíba";149
"260765 Itambé";1140
"260770 Itapetim";120
"260775 Itapissuma";2308
"260780 Itaquitinga";1110
"260790 Jaboatão dos Guararapes";150151
"260795 Jaqueira";149
"260800 Jataúba";157
"260805 Jatobá";396
"260810 João Alfredo";340
"260820 Joaquim Nabuco";97
"260825 Jucati";124
"260830 Jupi";322
"260840 Jurema";141
"260845 Lagoa do Carro";524
"260850 Lagoa do Itaenga";213
"260860 Lagoa do Ouro";75
"260870 Lagoa dos Gatos";185
"260875 Lagoa Grande";1025
"260880 Lajedo";1484
"260890 Limoeiro";2028
"260900 Macaparana";341
"260910 Machados";99
"260915 Manari";31
"260920 Maraial";67
"260930 Mirandiba";84
"261430 Moreilândia";85
"260940 Moreno";5940
"260950 Nazaré da Mata";1407
"260960 Olinda";102559
"260970 Orobó";246
"260980 Orocó";230
"260990 Ouricuri";1107
"261000 Palmares";1949
"261010 Palmeirina";99
"261020 Panelas";371
"261030 Paranatama";111
"261040 Parnamirim";599
"261050 Passira";273
"261060 Paudalho";1387
"261070 Paulista";80628
"261080 Pedra";324
"261090 Pesqueira";2250
"261100 Petrolândia";594
"261110 Petrolina";69327
"261120 Poção";150
"261130 Pombos";848
"261140 Primavera";153
"261150 Quipapá";243
"261153 Quixaba";74
"261160 Recife";635383
"261170 Riacho das Almas";894
"261180 Ribeirão";1028
"261190 Rio Formoso";367
"261200 Sairé";369
"261210 Salgadinho";40
"261220 Salgueiro";2220
"261230 Saloá";89
"261240 Sanharó";449
"261245 Santa Cruz";171
"261247 Santa Cruz da Baixa Verde";71
"261250 Santa Cruz do Capibaribe";6897
"261255 Santa Filomena";65
"261260 Santa Maria da Boa Vista";1187
"261270 Santa Maria do Cambucá";81
"261280 Santa Terezinha";48
"261290 São Benedito do Sul";141
"261300 São Bento do Una";1333
"261310 São Caitano";1420
"261320 São João";236
"261330 São Joaquim do Monte";265
"261340 São José da Coroa Grande";465
"261350 São José do Belmonte";522
"261360 São José do Egito";558
"261370 São Lourenço da Mata";13000
"261380 São Vicente Ferrer";198
"261390 Serra Talhada";4284
"261400 Serrita";73
"261410 Sertânia";822
"261420 Sirinhaém";415
"261440 Solidão";11
"261450 Surubim";2140
"261460 Tabira";261
"261470 Tacaimbó";248
"261480 Tacaratu";149
"261485 Tamandaré";455
"261500 Taquaritinga do Norte";595
"261510 Terezinha";85
"261520 Terra Nova";74
"261530 Timbaúba";1480
"261540 Toritama";2651
"261550 Tracunhaém";300
"261560 Trindade";359
"261570 Triunfo";411
"261580 Tupanatinga";228
"261590 Tuparetama";107
"261600 Venturosa";355
"261610 Verdejante";52
"261618 Vertente do Lério";41
"261620 Vertentes";394
"261630 Vicência";400
"261640 Vitória de Santo Antão";16528
"261650 Xexéu";85
"260000 Município ignorado - PE";33
"270010 Água Branca";210
"270020 Anadia";403
"270030 Arapiraca";21736
"270040 Atalaia";1185
"270050 Barra de Santo Antônio";325
"270060 Barra de São Miguel";694
"270070 Batalha";446
"270080 Belém";4341
"270090 Belo Monte";32
"270100 Boca da Mata";1807
"270110 Branquinha";37
"270120 Cacimbinhas";200
"270130 Cajueiro";571
"270135 Campestre";136
"270140 Campo Alegre";665
"270150 Campo Grande";1045
"270160 Canapi";130
"270170 Capela";428
"270180 Carneiros";26
"270190 Chã Preta";98
"270200 Coité do Nóia";148
"270210 Colônia Leopoldina";159
"270220 Coqueiro Seco";316
"270230 Coruripe";2477
"270235 Craíbas";648
"270240 Delmiro Gouveia";1650
"270250 Dois Riachos";46
"270255 Estrela de Alagoas";149
"270260 Feira Grande";258
"270270 Feliz Deserto";59
"270280 Flexeiras";155
"270290 Girau do Ponciano";372
"270300 Ibateguara";152
"270310 Igaci";273
"270320 Igreja Nova";83
"270330 Inhapi";69
"270340 Jacaré dos Homens";94
"270350 Jacuípe";13
"270360 Japaratinga";268
"270370 Jaramataia";57
"270375 Jequiá da Praia";105
"270380 Joaquim Gomes";93
"270390 Jundiá";48
"270400 Junqueiro";599
"270410 Lagoa da Canoa";305
"270420 Limoeiro de Anadia";206
"270430 Maceió";292779
"270440 Major Isidoro";252
"270490 Mar Vermelho";44
"270450 Maragogi";1221
"270460 Maravilha";128
"270470 Marechal Deodoro";8235
"270480 Maribondo";465
"270500 Mata Grande";181
"270510 Matriz de Camaragibe";439
"270520 Messias";569
"270530 Minador do Negrão";128
"270540 Monteirópolis";42
"270550 Murici";1361
"270560 Novo Lino";73
"270570 Olho d'Água das Flores";531
"270580 Olho d'Água do Casado";32
"270590 Olho d'Água Grande";27
"270600 Olivença";45
"270610 Ouro Branco";108
"270620 Palestina";14
"270630 Palmeira dos Índios";4529
"270640 Pão de Açúcar";432
"270642 Pariconha";52
"270644 Paripueira";936
"270650 Passo de Camaragibe";188
"270660 Paulo Jacinto";112
"270670 Penedo";3338
"270680 Piaçabuçu";268
"270690 Pilar";3015
"270700 Pindoba";64
"270710 Piranhas";612
"270720 Poço das Trincheiras";87
"270730 Porto Calvo";862
"270740 Porto de Pedras";173
"270750 Porto Real do Colégio";171
"270760 Quebrangulo";220
"270770 Rio Largo";7821
"270780 Roteiro";31
"270790 Santa Luzia do Norte";616
"270800 Santana do Ipanema";1925
"270810 Santana do Mundaú";219
"270820 São Brás";99
"270830 São José da Laje";336
"270840 São José da Tapera";226
"270850 São Luís do Quitunde";657
"270860 São Miguel dos Campos";3392
"270870 São Miguel dos Milagres";197
"270880 São Sebastião";441
"270890 Satuba";2927
"270895 Senador Rui Palmeira";29
"270900 Tanque d'Arca";61
"270910 Taquarana";338
"270915 Teotônio Vilela";776
"270920 Traipu";243
"270930 União dos Palmares";2390
"270940 Viçosa";775
"270000 Município ignorado - AL";4
"280010 Amparo de São Francisco";61
"280020 Aquidabã";557
"280030 Aracaju";240876
"280040 Arauá";125
"280050 Areia Branca";425
"280060 Barra dos Coqueiros";6669
"280067 Boquim";720
"280070 Brejo Grande";43
"280100 Campo do Brito";545
"280110 Canhoba";48
"280120 Canindé de São Francisco";349
"280130 Capela";754
"280140 Carira";394
"280150 Carmópolis";3058
"280160 Cedro de São João";215
"280170 Cristinápolis";250
"280190 Cumbe";96
"280200 Divina Pastora";83
"280210 Estância";5147
"280220 Feira Nova";31
"280230 Frei Paulo";413
"280240 Gararu";123
"280250 General Maynard";132
"280260 Gracho Cardoso";77
"280270 Ilha das Flores";72
"280280 Indiaroba";126
"280290 Itabaiana";6985
"280300 Itabaianinha";713
"280310 Itabi";90
"280320 Itaporanga d'Ajuda";1341
"280330 Japaratuba";672
"280340 Japoatã";158
"280350 Lagarto";8798
"280360 Laranjeiras";2602
"280370 Macambira";85
"280380 Malhada dos Bois";60
"280390 Malhador";188
"280400 Maruim";1569
"280410 Moita Bonita";219
"280420 Monte Alegre de Sergipe";153
"280430 Muribeca";245
"280440 Neópolis";514
"280445 Nossa Senhora Aparecida";126
"280450 Nossa Senhora da Glória";1620
"280460 Nossa Senhora das Dores";949
"280470 Nossa Senhora de Lourdes";107
"280480 Nossa Senhora do Socorro";20405
"280490 Pacatuba";329
"280500 Pedra Mole";23
"280510 Pedrinhas";155
"280520 Pinhão";78
"280530 Pirambu";276
"280540 Poço Redondo";233
"280550 Poço Verde";366
"280560 Porto da Folha";328
"280570 Propriá";1803
"280580 Riachão do Dantas";126
"280590 Riachuelo";296
"280600 Ribeirópolis";540
"280610 Rosário do Catete";693
"280620 Salgado";622
"280630 Santa Luzia do Itanhy";41
"280650 Santa Rosa de Lima";58
"280640 Santana do São Francisco";301
"280660 Santo Amaro das Brotas";525
"280670 São Cristóvão";10109
"280680 São Domingos";124
"280690 São Francisco";45
"280700 São Miguel do Aleixo";20
"280710 Simão Dias";1403
"280720 Siriri";180
"280730 Telha";55
"280740 Tobias Barreto";1292
"280750 Tomar do Geru";128
"280760 Umbaúba";618
"280000 Município ignorado - SE";119
"290010 Abaíra";238
"290020 Abaré";117
"290030 Acajutiba";126
"290035 Adustina";87
"290040 Água Fria";241
"290060 Aiquara";39
"290070 Alagoinhas";24013
"290080 Alcobaça";631
"290090 Almadina";128
"290100 Amargosa";986
"290110 Amélia Rodrigues";2607
"290115 América Dourada";41
"290120 Anagé";149
"290130 Andaraí";163
"290135 Andorinha";2559
"290140 Angical";110
"290150 Anguera";157
"290160 Antas";101
"290170 Antônio Cardoso";229
"290180 Antônio Gonçalves";153
"290190 Aporá";114
"290195 Apuarema";27
"290205 Araças";508
"290200 Aracatu";127
"290210 Araci";1031
"290220 Aramari";302
"290225 Arataca";86
"290230 Aratuípe";47
"290240 Aurelino Leal";153
"290250 Baianópolis";72
"290260 Baixa Grande";196
"290265 Banzaê";29
"290270 Barra";422
"290280 Barra da Estiva";299
"290290 Barra do Choça";981
"290300 Barra do Mendes";157
"290310 Barra do Rocha";127
"290320 Barreiras";14382
"290323 Barro Alto";84
"290330 Barro Preto";267
"290327 Barrocas";781
"290340 Belmonte";880
"290350 Belo Campo";196
"290360 Biritinga";196
"290370 Boa Nova";127
"290380 Boa Vista do Tupim";98
"290390 Bom Jesus da Lapa";2504
"290395 Bom Jesus da Serra";31
"290400 Boninal";56
"290405 Bonito";97
"290410 Boquira";187
"290420 Botuporã";51
"290430 Brejões";151
"290440 Brejolândia";38
"290450 Brotas de Macaúbas";68
"290460 Brumado";6640
"290470 Buerarema";600
"290475 Buritirama";65
"290480 Caatiba";50
"290485 Cabaceiras do Paraguaçu";180
"290490 Cachoeira";910
"290500 Caculé";501
"290510 Caém";54
"290515 Caetanos";53
"290520 Caetité";2120
"290530 Cafarnaum";47
"290540 Cairu";210
"290550 Caldeirão Grande";57
"290560 Camacan";918
"290570 Camaçari";72646
"290580 Camamu";311
"290590 Campo Alegre de Lourdes";358
"290600 Campo Formoso";3014
"290610 Canápolis";65
"290620 Canarana";101
"290630 Canavieiras";492
"290640 Candeal";205
"290650 Candeias";12602
"290660 Candiba";132
"290670 Cândido Sales";640
"290680 Cansanção";243
"290682 Canudos";79
"290685 Capela do Alto Alegre";127
"290687 Capim Grosso";338
"290689 Caraíbas";38
"290690 Caravelas";1198
"290700 Cardeal da Silva";224
"290710 Carinhanha";184
"290720 Casa Nova";2219
"290730 Castro Alves";478
"290740 Catolândia";19
"290750 Catu";8923
"290755 Caturama";46
"290760 Central";120
"290770 Chorrochó";59
"290780 Cícero Dantas";438
"290790 Cipó";173
"290800 Coaraci";982
"290810 Cocos";143
"290820 Conceição da Feira";878
"290830 Conceição do Almeida";307
"290840 Conceição do Coité";1588
"290850 Conceição do Jacuípe";3981
"290860 Conde";408
"290870 Condeúba";317
"290880 Contendas do Sincorá";39
"290890 Coração de Maria";1086
"290900 Cordeiros";85
"290910 Coribe";61
"290920 Coronel João Sá";51
"290930 Correntina";523
"290940 Cotegipe";28
"290950 Cravolândia";35
"290960 Crisópolis";101
"290970 Cristópolis";45
"290980 Cruz das Almas";4652
"290990 Curaçá";987
"291000 Dário Meira";23
"291005 Dias d'Ávila";10258
"291010 Dom Basílio";275
"291020 Dom Macedo Costa";106
"291030 Elísio Medrado";139
"291040 Encruzilhada";144
"291050 Entre Rios";2328
"290050 Érico Cardoso";72
"291060 Esplanada";594
"291070 Euclides da Cunha";1252
"291072 Eunápolis";20467
"291075 Fátima";112
"291077 Feira da Mata";21
"291080 Feira de Santana";137926
"291085 Filadélfia";184
"291090 Firmino Alves";38
"291100 Floresta Azul";211
"291110 Formosa do Rio Preto";609
"291120 Gandu";705
"291125 Gavião";23
